AFGHANISTAN;Z200
AFRICA DEL SUD-OVEST;Z300
ALBANIA;Z100
ALGERIA;Z301
ANDORRA;Z101
ANGOLA;Z302
ANGUILLA;Z529
ANTIGUA E BARBUDA;Z532
ANTILLE BRITANNICHE;Z521
ANTILLE OLANDESI;Z501
ARABIA MERIDIONALE FEDERAZIONE;Z201
ARABIA MERIDIONALE PROTETTORATO;Z202
ARABIA SAUDITA;Z203
ARGENTINA;Z600
ARMENIA;Z137
AUSTRALIA;Z700
AUSTRIA;Z102
AZERBAIGIAN;Z253
BAHAMA;Z502
BAHAMA;Z502
BAHREIN;Z204
BANGLADESH;Z249
BARBADOS;Z522
BASUTOLAND-SUD AFRICA BRITANNICO;Z303
BECIUANIA-SUD AFRICA BRITANNICO;Z304
BELGIO;Z103
BELIZE;Z512
BENIN;Z314
BERMUDA (ISOLE);Z400
BHUTAN;Z205
BIELORUSSIA;Z139
BIRMANIA;Z206
BOLIVIA;Z601
BOPHUTHATSWANA;Z364
BOSNIA ED ERZEGOVINA;Z153
BOTSWANA;Z358
BRASILE;Z602
BRUNEI;Z207
BULGARIA;Z104
BURKINA;Z354
BURUNDI;Z305
CAMBOGIA;Z208
CAMERUN;Z306
CANADA;Z401
CAPO VERDE;Z307
CAPO VERDE;Z307
CAROLINE;Z701
CAROLINE;Z701
CAYMAN;Z530
CECA REPUBBLICA;Z156
CECOSLOVACCHIA;Z105
CENTRAFRICANA REPUBBLICA;Z308
CENTROAFRICANA REPUBBLICA;Z308
CENTROAFRICANO IMPERO;Z308
CEYLON;Z209
CHRISTMAS;Z702
CIAD;Z309
CILE;Z603
CINA REPUBBLICA POPOLARE;Z210
CIPRO;Z211
CISKEI;Z367
CITTA' DEL VATICANO;Z106
COCOS (ISOLE);Z212
COLOMBIA;Z604
COMORE;Z310
COMORE;Z310
CONGO BRAZZAVILLE;Z311
CONGO LEOPOLDVILLE;Z312
CONGO REPUBBLICA DEMOCRATICA;Z312
CONGO REPUBBLICA POPOLARE;Z311
COOK;Z703
COREA DEL NORD;Z214
COREA DEL SUD;Z213
COSTA DEI PIRATI;Z215
COSTA D'AVORIO;Z313
COSTA RICA;Z503
CROAZIA;Z149
CUBA;Z504
DAHOMEY;Z314
DANIMARCA;Z107
DIPENDENZE AUSTRALIANE;Z900
DIPENDENZE BRITANNICHE;Z901
DIPENDENZE CANADESI;Z800
DIPENDENZE FRANCESI;Z902
DIPENDENZE NEOZELANDESI;Z903
DIPENDENZE NORVEGESI ANTARTICHE;Z904
DIPENDENZE NORVEGESI ARTICHE;Z801
DIPENDENZE RUSSE;Z802
DIPENDENZE SOVIETICHE;Z802
DIPENDENZE STATUNITENSI;Z905
DIPENDENZE SUDAFRICANE;Z906
DOMINICA;Z526
DOMINICANA REPUBBLICA;Z505
ECUADOR;Z605
EGITTO;Z336
EL SALVADOR;Z506
EMIRATI ARABI UNITI;Z215
ERITREA;Z368
ESTONIA;Z144
ETIOPIA;Z315
FAER OER;Z108
FIGI;Z704
FILIPPINE;Z216
FINLANDIA;Z109
FORMOSA;Z217
FRANCIA;Z110
GABON;Z316
GAMBIA;Z317
GAZA;Z218
GEORGIA;Z136
GERMANIA;Z112
GERMANIA REPUBBLICA DEMOCRATICA;Z111
GERMANIA REPUBBLICA FEDERALE;Z112
GHANA;Z318
GIAMAICA;Z507
GIAPPONE;Z219
GIBILTERRA;Z113
GIBUTI;Z361
GILBERT E ELLICE;Z705
GIORDANIA;Z220
GRAN BRETAGNA E IRLANDA DEL NORD;Z114
GRECIA;Z115
GRENADA;Z524
GROENLANDIA;Z402
GUADALUPA;Z508
GUAM;Z706
GUATEMALA;Z509
GUAYANA OLANDESE;Z608
GUAYANA;Z607
GUINEA;Z319
GUINEA BISSAU;Z320
GUINEA EQUATORIALE;Z321
GUINEA PORTOGHESE;Z320
GUINEA SPAGNOLA;Z321
GUYANA;Z606
GUYANA BRITANNICA;Z606
HAITI;Z510
HONDURAS;Z511
